Title,Company,Location,Experience,Post_Date,Today,Summary,Salary,Url,Portal
Data Scientist,Qubit AI,Hyderabad,5-10 Yrs,30+ Days Ago,08/09/2022,Apply your expertise in quantitative analysis to see beyond the numbers and identify ac...,Not disclosed,https://www.naukri.com/job-listings-data-scientist-qubit-ai-hyderabad-secunderabad-5-to-10-years-190321500980,Naukri
Big Data - Data Scientist,ecolab,Hyderabad/Secunderabad,2-6 Yrs,21 Days Ago,08/09/2022,Bachelors with > 6 years of experience / Master s degree with > 4 years of experience3 ...,Not disclosed,https://www.naukri.com/job-listings-big-data-data-scientist-ecolab-hyderabad-secunderabad-2-to-6-years-180722500101,Naukri
Data Scientist,Future India Services,Hyderabad/Secunderabad,5-10 Yrs,30+ Days Ago,08/09/2022,"Well versed with ML algorithms (Random Forest, Decision Tree, XGBoost, GBC, Logistic, L...",Not disclosed,https://www.naukri.com/job-listings-data-scientist-future-india-services-hyderabad-secunderabad-5-to-10-years-130622906208,Naukri
Digital - Data Lakes - Data Mining Engineer,FACTSET SYSTEMS INDIA PVT LTD,Hyderabad,3-7 Yrs,30+ Days Ago,08/09/2022,"Proficient in data structures and algorithms, in particular: lists, queues, trees, grap...",Not disclosed,https://www.naukri.com/job-listings-digital-data-lakes-data-mining-engineer-factset-systems-india-pvt-ltd-hyderabad-secunderabad-3-to-7-years-300320500498,Naukri
Data Engineer,Saras Solutions India Pvt Ltd.,Hyderabad/Secunderabad,4-6 Yrs,10 Days Ago,08/09/2022,"4 to 6 years of experience in building data processing applications using Hadoop, Spark...",Not disclosed,https://www.naukri.com/job-listings-data-engineer-saras-solutions-india-pvt-ltd-hyderabad-secunderabad-4-to-6-years-290722501976,Naukri
Data Engineer II,Dun & Bradstreet,Hyderabad/Secunderabad,2-4 Yrs,30+ Days Ago,08/09/2022,"Bachelor s Degree in Computer Science, Information Systems, or other related field or e...",Not disclosed,https://www.naukri.com/job-listings-data-engineer-ii-dun-bradstreet-information-services-india-private-limited-hyderabad-secunderabad-2-to-4-years-120821500041,Naukri
Senior Analyst - Strategy & Operations,HighRadius,Hyderabad/Secunderabad,6-11 Yrs,9 Days Ago,08/09/2022,"Bachelor s degree in finance, operations, research, statistics, math, economics, or rel...",Not disclosed,https://www.naukri.com/job-listings-senior-analyst-strategy-operations-highradius-technologies-pvt-ltd-hyderabad-secunderabad-6-to-11-years-300722906461,Naukri
Content Analyst - Drug Forecast,Clarivate,Hyderabad/Secunderabad,1-4 Yrs,24 Days Ago,08/09/2022,"Computer literacy, preferably with some database experience Experience in secondary res...",Not disclosed,https://www.naukri.com/job-listings-content-analyst-drug-forecast-clarivate-analytics-hyderabad-secunderabad-1-to-4-years-150722502076,Naukri
"Salesforce Analyst (II), Market Operations Support","Ryan, LLC.",Hyderabad/Secunderabad,4-9 Yrs,30+ Days Ago,08/09/2022,Bachelor s / Master s degree or equivalent 40+ hour standard workweek requirement Under...,Not disclosed,https://www.naukri.com/job-listings-salesforce-analyst-ii-market-operations-support-ryan-llc-hyderabad-secunderabad-4-to-9-years-230222500172,Naukri
Analyst,SG Analytics Pvt Ltd,Hyderabad/Secunderabad,1-4 Yrs,30+ Days Ago,08/09/2022,JOB DESCRIPTION Create deliverables from primary/secondary research data Create and cur...,Not disclosed,https://www.naukri.com/job-listings-analyst-sg-analytics-pvt-ltd-hyderabad-secunderabad-1-to-4-years-100122501781,Naukri
Senior Data Scientist,J2 Cloud Services,"Hyderabad/Secunderabad, Mumbai, Pune, Bangalore/Bengaluru, remote",5-7 Yrs,11 Days Ago,08/09/2022,We are looking to hire a Senior Data Scientist (India) to help support our Data Science...,Not disclosed,https://www.naukri.com/job-listings-senior-data-scientist-j2-cloud-services-mumbai-hyderabad-secunderabad-pune-bangalore-bengaluru-remote-5-to-7-years-280722500447,Naukri
Hiring For Big4 - Sr. Data Scientist,Contactx India,"Hyderabad/Secunderabad, Kolkata, Mumbai, Lucknow, Chennai, Ahmedabad, Delhi / NCR, Bangalore/Bengaluru",7-12 Yrs,12 Days Ago,08/09/2022,Strong Experience in programming languages like SQL along with Python or SASFunctional ...,Not disclosed,https://www.naukri.com/job-listings-hiring-for-big4-sr-data-scientist-contactx-india-kolkata-mumbai-hyderabad-secunderabad-lucknow-chennai-ahmedabad-delhi-ncr-bangalore-bengaluru-7-to-12-years-280722901859,Naukri
Senior Data Scientist,Enquero,"Hyderabad/Secunderabad, Bangalore/Bengaluru",6-10 Yrs,11 Days Ago,08/09/2022,Experience on NLP projects is preferred Have 5yrs of relevant experience as Data Scient...,Not disclosed,https://www.naukri.com/job-listings-senior-data-scientist-enquero-hyderabad-secunderabad-bangalore-bengaluru-6-to-10-years-280722501654,Naukri
Senior Data Scientist,ValueLabs (India),Hyderabad/Secunderabad,5-10 Yrs,3 Days Ago,08/09/2022,"Responsibilities Selecting features, building and optimizing classifiers using machine ...",Not disclosed,https://www.naukri.com/job-listings-senior-data-scientist-valuelabs-india-hyderabad-secunderabad-5-to-10-years-050822500546,Naukri
Data Scientist - Engine Algorithm,Primo Hiring,"Hyderabad/Secunderabad, Kolkata, Mumbai, Visakhapatnam, Pune, Chennai, Ahmedabad, Delhi / NCR, Bangalore/Bengaluru",1-3 Yrs,10 Days Ago,08/09/2022,"Experience with exploratory data analysis, statistical analysis, and testing, and model...",Not disclosed,https://www.naukri.com/job-listings-data-scientist-engine-algorithm-primo-hiring-kolkata-mumbai-visakhapatnam-vizag-hyderabad-secunderabad-pune-chennai-ahmedabad-delhi-ncr-bangalore-bengaluru-1-to-3-years-300722900011,Naukri
Data Scientist - Engine Algorithm,Primo Hiring,"Hyderabad/Secunderabad, Kolkata, Mumbai, Pune, Chennai, Ahmedabad, Bangalore/Bengaluru, Delhi / NCR",1-3 Yrs,11 Days Ago,08/09/2022,"Experience with exploratory data analysis, statistical analysis, and testing, and model...",Not disclosed,https://www.naukri.com/job-listings-data-scientist-engine-algorithm-primo-hiring-kolkata-mumbai-hyderabad-secunderabad-pune-chennai-ahmedabad-bangalore-bengaluru-delhi-ncr-1-to-3-years-280722909939,Naukri
Data Scientist,MetLife,Hyderabad/Secunderabad,2-5 Yrs,30+ Days Ago,08/09/2022,Bachelor s degree in a quantitative field required Masters preferred Perform Explorator...,Not disclosed,https://www.naukri.com/job-listings-data-scientist-metlife-hyderabad-secunderabad-2-to-5-years-300622501044,Naukri
AVAP Agile Information Systems - Data Scientist - R/SQL/Python,AVAP Agile,"Kolkata, Mumbai, Pune, Chennai, Bangalore/Bengaluru, hyderabad/secundrabad,  Delhi / NCR",3-8 Yrs,30+ Days Ago,08/09/2022,"A masters degree within either engineering, physics, IT, mathematicsstatistics, meteoro...",Not disclosed,https://www.naukri.com/job-listings-avap-agile-information-systems-data-scientist-r-sql-python-avap-agile-kolkata-mumbai-pune-chennai-bangalore-bengaluru-hyderabad-secundrabad-delhi-ncr-3-to-8-years-200622907663,Naukri
Data scientist _Tata Consultancy Services(Tcs),TATA CONSULTANCY SERVICES (TCS),"Hyderabad/Secunderabad, Kochi/Cochin, Indore, New Delhi, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",9-14 Yrs,18 Days Ago,08/09/2022,Urgent hiring_Data scientist _Tata Consultancy Services(TCS) Skills- Data scientist EXP...,Not disclosed,https://www.naukri.com/job-listings-data-scientist-tata-consultancy-services-tcs-tata-consultancy-services-ltd-kochi-cochin-indore-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-9-to-14-years-220722001699,Naukri
Data scientist _Tata Consultancy Services(Tcs),TATA CONSULTANCY SERVICES (TCS),"Hyderabad/Secunderabad, Kochi/Cochin, Kolkata, Indore, Ahmedabad, Chennai, Bangalore/Bengaluru",7-12 Yrs,19 Days Ago,08/09/2022,Urgent hiring_Data scientist _Tata Consultancy Services(TCS) Skills- Data scientist EXP...,Not disclosed,https://www.naukri.com/job-listings-data-scientist-tata-consultancy-services-tcs-tata-consultancy-services-ltd-kochi-cochin-kolkata-indore-hyderabad-secunderabad-ahmedabad-chennai-bangalore-bengaluru-7-to-12-years-200722009512,Naukri
Data scientist _Tata Consultancy Services(Tcs),TATA CONSULTANCY SERVICES (TCS),"Hyderabad/Secunderabad, Kochi/Cochin, Kolkata, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, India",8-13 Yrs,20 Days Ago,08/09/2022,Urgent hiring_Data scientist _Tata Consultancy Services(TCS) Skills- Data scientist EXP...,Not disclosed,https://www.naukri.com/job-listings-data-scientist-tata-consultancy-services-tcs-tata-consultancy-services-ltd-kochi-cochin-kolkata-hyderabad-secunderabad-pune-ahmedabad-chennai-bangalore-bengaluru-delhi-ncr-india-8-to-13-years-190722006984,Naukri
Data scientist _Tata Consultancy Services(Tcs),TATA CONSULTANCY SERVICES (TCS),"Hyderabad/Secunderabad, Kochi/Cochin, Kolkata, Indore, New Delhi, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR",5-9 Yrs,21 Days Ago,08/09/2022,Urgent hiring_Data scientist _Tata Consultancy Services(TCS) Skills- Data scientist EXP...,"50,000 PA.",https://www.naukri.com/job-listings-data-scientist-tata-consultancy-services-tcs-tata-consultancy-services-ltd-kochi-cochin-kolkata-indore-new-delhi-hyderabad-secunderabad-ahmedabad-chennai-bangalore-bengaluru-delhi-ncr-5-to-9-years-180722003036,Naukri
Data scientist _Tata Consultancy Services(Tcs),TATA CONSULTANCY SERVICES (TCS),"Hyderabad/Secunderabad, Kochi/Cochin, Kolkata, Indore, New Delhi, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR",8-13 Yrs,28 Days Ago,08/09/2022,Urgent hiring_Data scientist _Tata Consultancy Services(TCS) Skills- Data scientist EXP...,Not disclosed,https://www.naukri.com/job-listings-data-scientist-tata-consultancy-services-tcs-tata-consultancy-services-ltd-kochi-cochin-kolkata-indore-new-delhi-hyderabad-secunderabad-ahmedabad-chennai-bangalore-bengaluru-delhi-ncr-8-to-13-years-110722007136,Naukri
MIS Analyst,24-7 Intouch,Hyderabad/Secunderabad,3-6 Yrs,30+ Days Ago,08/09/2022,Post-secondary diploma or degree (Masters is a plus) Ensure individual and process-wide...,Not disclosed,https://www.naukri.com/job-listings-mis-analyst-24-7-intouch-hyderabad-secunderabad-3-to-6-years-290622500489,Naukri
Data Scientist,"ZL Technologies, Inc.",Hyderabad/Secunderabad,1-2 Yrs,30+ Days Ago,08/09/2022,Work with stakeholders throughout client enterprise organizations to identify opportuni...,Not disclosed,https://www.naukri.com/job-listings-data-scientist-zl-technologies-inc-hyderabad-secunderabad-1-to-2-years-280222502241,Naukri
Data Scientist,Genzeon Technology Solutions Private Limited,Hyderabad/Secunderabad,8-13 Yrs,30+ Days Ago,08/09/2022,The candidate must have at least a Masters-level degree in Data Science or equivalent w...,Not disclosed,https://www.naukri.com/job-listings-data-scientist-genzeon-technology-solutions-private-limited-hyderabad-secunderabad-8-to-13-years-270422501409,Naukri
Data Scientist,Fisker Inc,Hyderabad/Secunderabad,4-8 Yrs,30+ Days Ago,08/09/2022,Job Responsibilities Design and architecture key ML/AI products in automotive domain An...,Not disclosed,https://www.naukri.com/job-listings-260522501280,Naukri
Data Scientist,Qubit AI,Hyderabad,5-10 Yrs,30+ Days Ago,08/09/2022,Apply your expertise in quantitative analysis to see beyond the numbers and identify ac...,Not disclosed,https://www.naukri.com/job-listings-data-scientist-qubit-ai-hyderabad-secunderabad-5-to-10-years-190321500980,Naukri
Big Data - Data Scientist,ecolab,Hyderabad/Secunderabad,2-6 Yrs,21 Days Ago,08/09/2022,Bachelors with > 6 years of experience / Master s degree with > 4 years of experience3 ...,Not disclosed,https://www.naukri.com/job-listings-big-data-data-scientist-ecolab-hyderabad-secunderabad-2-to-6-years-180722500101,Naukri
Data Scientist,Seven Consultancy,Hyderabad,3-6 Yrs,30+ Days Ago,08/09/2022,EXPERIENCE: 3yr - 6yr,Not disclosed,https://www.naukri.com/job-listings-data-scientist-seven-consultancy-hyderabad-secunderabad-3-to-6-years-120820500490,Naukri
Lead Data Scientist,Technovert,Hyderabad/Secunderabad,9-14 Yrs,30+ Days Ago,08/09/2022,Job Details: At least 6 years of experience working with geographically distributed tea...,Not disclosed,https://www.naukri.com/job-listings-lead-data-scientist-technovert-hyderabad-secunderabad-9-to-14-years-090322501354,Naukri
Data Scientist,Madhees,Hyderabad,5-10 Yrs,30+ Days Ago,08/09/2022,"Job Description : We are looking for Data Scientists, Bachelors and 5+ yrs relevant exp...",Not disclosed,https://www.naukri.com/job-listings-data-scientist-madhees-hyderabad-secunderabad-5-to-10-years-050620500875,Naukri
Data Scientist,OakNorth,"Hyderabad/Secunderabad, Gurgaon/Gurugram, Bangalore/Bengaluru",3-7 Yrs,12 Days Ago,08/09/2022,Graduate in Engineering/ Statistics / Economics / Business or equivalent with at least ...,Not disclosed,https://www.naukri.com/job-listings-data-scientist-oak-north-global-pvt-ltd-hyderabad-secunderabad-gurgaon-gurugram-bangalore-bengaluru-3-to-7-years-270722004303,Naukri
Data Scientist,Seven Consultancy,Hyderabad,3-5 Yrs,30+ Days Ago,08/09/2022,JOB DETAILS 1) Analytical Model Development To develop end to end web based predictive ...,Not disclosed,https://www.naukri.com/job-listings-data-scientist-seven-consultancy-hyderabad-secunderabad-3-to-5-years-260620501169,Naukri
Data Scientist Intern,PAGO Analytics,Hyderabad/Secunderabad,0-1 Yrs,30+ Days Ago,08/09/2022,"As a Data Scientist Intern, you will be responsible for compiling actionable insights f...",Not disclosed,https://www.naukri.com/job-listings-data-scientist-intern-pago-analytics-hyderabad-secunderabad-0-to-1-years-020921500794,Naukri
Business Analyst,Wavelabs,Hyderabad/Secunderabad,5-7 Yrs,3 Days Ago,08/09/2022,"Understanding the infrastructure required for optimal extraction, transformation, and l...",Not disclosed,https://www.naukri.com/job-listings-business-analyst-wavelabs-hyderabad-secunderabad-5-to-7-years-050822501451,Naukri
Business Analyst,Wavelabs Technologies Private Limited,Hyderabad/Secunderabad,5-7 Yrs,5 Days Ago,08/09/2022,"Understanding the infrastructure required for optimal extraction, transformation, and l...",Not disclosed,https://www.naukri.com/job-listings-business-analyst-wavelabs-technologies-private-limited-hyderabad-secunderabad-5-to-7-years-030822501972,Naukri
Senior Consultant Data Engineer,"ThoughtWorks, Inc.",Hyderabad/Secunderabad,6-11 Yrs,1 Day Ago,08/09/2022,You have a good understanding of data modelling and experience with data engineering to...,Not disclosed,https://www.naukri.com/job-listings-senior-consultant-data-engineer-thoughtworks-inc-hyderabad-secunderabad-6-to-11-years-080822500731,Naukri
Senior Data Expert,Reckitt Benckiser Pvt Ltd,Hyderabad/Secunderabad,4-7 Yrs,2 Days Ago,08/09/2022,"Hadoop, Map / Reduce, Spark, HBase, CouchDB, Hive) preferred Experience in data enginee...",Not disclosed,https://www.naukri.com/job-listings-senior-data-expert-reckitt-benckiser-pvt-ltd-hyderabad-secunderabad-4-to-7-years-060822500793,Naukri
Senior Data Engineer,Reckitt Benckiser Pvt Ltd,Hyderabad/Secunderabad,3-6 Yrs,2 Days Ago,08/09/2022,"Hadoop, Map / Reduce, Spark, HBase, CouchDB, Hive) preferred Experience in data enginee...",Not disclosed,https://www.naukri.com/job-listings-senior-data-engineer-reckitt-benckiser-pvt-ltd-hyderabad-secunderabad-3-to-6-years-060822500792,Naukri
"Senior Software Engineer - Data Engineer, SQL",Optum,Hyderabad/Secunderabad,5-10 Yrs,4 Days Ago,08/09/2022,"Primary Responsibilities:Create and maintain optimal data pipeline architecture, assemb...",Not disclosed,https://www.naukri.com/job-listings-senior-software-engineer-data-engineer-sql-optum-global-solutions-india-private-limited-hyderabad-secunderabad-5-to-10-years-040822905857,Naukri
Senior Big Data Engineer,Grid Dynamics,Hyderabad/Secunderabad,4-9 Yrs,30+ Days Ago,08/09/2022,Responsibilities: Participate in design and development of Big Data analytical applicat...,Not disclosed,https://www.naukri.com/job-listings-senior-big-data-engineer-grid-dynamics-hyderabad-secunderabad-4-to-9-years-280622500195,Naukri
Data Engineer _GCP,Tiger Analytics,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",1-5 Yrs,12 Days Ago,08/09/2022,"Design and build scalable data ingestion pipelines to handle real-time streams, CDC eve...",Not disclosed,https://www.naukri.com/job-listings-data-engineer-gcp-tiger-analytics-hyderabad-secunderabad-chennai-bangalore-bengaluru-1-to-5-years-270722501087,Naukri
BDB Big Data Engineer,BizViz Technologies Pvt. Ltd.,"Hyderabad, Bengaluru",5-10 Yrs,30+ Days Ago,08/09/2022,"BizViz provides a 360 degree view of a business's data , serving any vertical and meeti...",Not disclosed,https://www.naukri.com/job-listings-bdb-big-data-engineer-bizviz-technologies-pvt-ltd-hyderabad-secunderabad-bengaluru-bangalore-5-to-10-years-230119503586,Naukri
Big Data Engineer,"ANMUTSOLUTIONS Pvt,Ltd.","Hyderabad, Bengaluru",5-10 Yrs,30+ Days Ago,08/09/2022,"Description BizViz provides a 360 degree view of a business's data, serving any vertica...",Not disclosed,https://www.naukri.com/job-listings-big-data-engineer-anmutsolutions-pvt-ltd-hyderabad-secunderabad-bengaluru-bangalore-5-to-10-years-150420500300,Naukri
Big Data Engineer,BizViz Technologies Pvt. Ltd.,"Hyderabad, Bengaluru",5-10 Yrs,30+ Days Ago,08/09/2022,"Description BizViz provides a 360 degree view of a business's data, serving any vertica...",Not disclosed,https://www.naukri.com/job-listings-big-data-engineer-bizviz-technologies-pvt-ltd-hyderabad-secunderabad-bengaluru-bangalore-5-to-10-years-041217500447,Naukri
BDB Big Data Engineer,BizViz Technologies Pvt. Ltd.,"Hyderabad, Bengaluru",5-10 Yrs,30+ Days Ago,08/09/2022,"Description BizViz provides a 360 degree view of a business's data, serving any vertica...",Not disclosed,https://www.naukri.com/job-listings-bdb-big-data-engineer-bizviz-technologies-pvt-ltd-hyderabad-secunderabad-bengaluru-bangalore-5-to-10-years-041217500446,Naukri
BDB Big Data Engineer,"ANMUTSOLUTIONS Pvt,Ltd.","Hyderabad, Bengaluru",5-10 Yrs,30+ Days Ago,08/09/2022,"Proficient in writing custom handlers for Elasticsearch / SolrEducation, Experience, Sk...",Not disclosed,https://www.naukri.com/job-listings-bdb-big-data-engineer-anmutsolutions-pvt-ltd-hyderabad-secunderabad-bengaluru-bangalore-5-to-10-years-011217500860,Naukri
BDB Big Data Engineer,"ANMUTSOLUTIONS Pvt,Ltd.","Hyderabad, Bengaluru",5-10 Yrs,30+ Days Ago,08/09/2022,"Proficient in writing custom handlers for Elasticsearch / SolrEducation, Experience, Sk...",Not disclosed,https://www.naukri.com/job-listings-bdb-big-data-engineer-anmutsolutions-pvt-ltd-hyderabad-secunderabad-bengaluru-bangalore-5-to-10-years-011217500859,Naukri
Data Scientist_Tata Consultancy Services(Tcs),TATA CONSULTANCY SERVICES (TCS),"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",4-9 Yrs,1 Day Ago,08/09/2022,Urgent hiring_ Data Scientist_Tata Consultancy Services(TCS) Skills- Data Scientist Loc...,Not disclosed,https://www.naukri.com/job-listings-data-scientist-tata-consultancy-services-tcs-tata-consultancy-services-ltd-hyderabad-secunderabad-chennai-bangalore-bengaluru-4-to-9-years-080822001256,Naukri
Associate Big Data Engineer,MetLife,Hyderabad/Secunderabad,1-3 Yrs,17 Days Ago,08/09/2022,Job Responsibilities Contribute towards supporting the build/implementation of data ing...,Not disclosed,https://www.naukri.com/job-listings-associate-big-data-engineer-metlife-hyderabad-secunderabad-1-to-3-years-220722501997,Naukri
Data Analytics Engineer,Anicalls,Hyderabad/Secunderabad,5-10 Yrs,30+ Days Ago,08/09/2022,Data Analytics Engineer Anicalls Apply Industry: IT Total Positions: 3 Job Type: Full T...,Not disclosed,https://www.naukri.com/job-listings-data-analytics-engineer-anicalls-hyderabad-secunderabad-5-to-10-years-250322500764,Naukri
Data Engineer with Power BI,Wallero Technologies,Hyderabad/Secunderabad,6-10 Yrs,28 Days Ago,08/09/2022,Data Engineer with PowerBI experience (6-7 years)a. Strong SQL backgroundb. Strong Powe...,Not disclosed,https://www.naukri.com/job-listings-data-engineer-with-power-bi-wallero-technologies-private-limited-hyderabad-secunderabad-6-to-10-years-110722002898,Naukri
Engineer - Data and Analytics,"CDK GLOBAL, LLC.",Hyderabad/Secunderabad,6-10 Yrs,30+ Days Ago,08/09/2022,Good ability to translate business needs into technical designs and develop and enhance...,Not disclosed,https://www.naukri.com/job-listings-engineer-data-and-analytics-cdk-global-llc-hyderabad-secunderabad-6-to-10-years-030622501076,Naukri
Senior TA Analyst,Franklin Templeton,"Hyderabad/Secunderabad, Adilabad",2-3 Yrs,17 Days Ago,08/09/2022,Bachelors Degree or equivalent experienceAt least 2 - 3 years related analytical experi...,Not disclosed,https://www.naukri.com/job-listings-senior-ta-analyst-franklin-templeton-international-hyderabad-secunderabad-adilabad-2-to-3-years-220722500180,Naukri
Senior Lead Analyst- FP&A,Thomson Reuters,Hyderabad/Secunderabad,5-8 Yrs,24 Days Ago,08/09/2022,With excellent working knowledge of Advanced MS Excel and Macros Qualification: Post Gr...,Not disclosed,https://www.naukri.com/job-listings-senior-lead-analyst-fp-a-thomson-reuters-india-pvt-ltd-hyderabad-secunderabad-5-to-8-years-150722501729,Naukri
Fund Services . Senior Analyst,Citco,Hyderabad/Secunderabad,3-7 Yrs,25 Days Ago,08/09/2022,"As a Senior Support Analyst, the successful incumbent will work as part of a global tea...",Not disclosed,https://www.naukri.com/job-listings-fund-services-senior-analyst-citco-hyderabad-secunderabad-3-to-7-years-140722500048,Naukri
Senior Analyst - Fleet Management,Harsco Global Service Centre,Hyderabad/Secunderabad,5-10 Yrs,30+ Days Ago,08/09/2022,Bachelor s degree Minimum of 5 years of direct fleet management experience Identify spe...,Not disclosed,https://www.naukri.com/job-listings-senior-analyst-fleet-management-harsco-global-service-centre-hyderabad-secunderabad-5-to-10-years-100322500824,Naukri
Sr. HRIS Analyst,Advance Auto Parts,Hyderabad/Secunderabad,2-7 Yrs,30+ Days Ago,08/09/2022,"The Workday Functional position is an existing role at Advance Auto Parts (AAP), that w...",Not disclosed,https://www.naukri.com/job-listings-sr-hris-analyst-advance-auto-parts-hyderabad-secunderabad-2-to-7-years-190422500012,Naukri
Oracle ERP Cloud Technical Sr . Analyst,Peloton,Hyderabad/Secunderabad,4-6 Yrs,30+ Days Ago,08/09/2022,Responsibilities: Development of cloud integration applications Defining new and refini...,Not disclosed,https://www.naukri.com/job-listings-oracle-erp-cloud-technical-sr-analyst-peloton-hyderabad-secunderabad-4-to-6-years-120522501452,Naukri
Oracle ERP Cloud Technical Sr Analyst,Peloton Consulting India Private Limited,Hyderabad/Secunderabad,4-6 Yrs,30+ Days Ago,08/09/2022,Responsibilities Development of cloud integration applications Defining new and refinin...,Not disclosed,https://www.naukri.com/job-listings-oracle-erp-cloud-technical-sr-analyst-peloton-consulting-india-private-limited-hyderabad-secunderabad-4-to-6-years-120522500633,Naukri
Senior Data Scientist,Spiceworks,"Hyderabad/Secunderabad, Mumbai, Pune, Bangalore/Bengaluru, REMOTE",5-7 Yrs,24 Days Ago,08/09/2022,Who You Are: We are looking to hire a Senior Data Scientist (India) to help support our...,Not disclosed,https://www.naukri.com/job-listings-senior-data-scientist-spiceworks-mumbai-hyderabad-secunderabad-pune-bangalore-bengaluru-remote-5-to-7-years-150722501193,Naukri
Data Scientist / Sr . Data Scientist,Thompsons HR Consulting,"Hyderabad/Secunderabad, Bangalore/Bengaluru",3-8 Yrs,19 Days Ago,08/09/2022,"Bachelors or Master s in Computer Science, Electrical Engineering, Statistics, or equiv...",Not disclosed,https://www.naukri.com/job-listings-data-scientist-sr-data-scientist-thompsons-hr-consulting-hyderabad-secunderabad-bangalore-bengaluru-3-to-8-years-200722500734,Naukri
Data Scientist / Sr. Data Scientist  || Hyderabad / Bangalore,COGNIAL ARTIFICIAL INTELLIGENCE SOLUTIONS PVT LTD.,,,30+ Days Ago,08/09/2022,"Bachelors or Masters in Computer Science, Electrical Engineering, Statistics, or equiva...",Not disclosed,https://www.naukri.com/job-listings-data-scientist-sr-data-scientist-hyderabad-bangalore-cognial-artificial-intelligence-solutions-pvt-ltd-hyderabad-secunderabad-bangalore-bengaluru-3-to-5-years-100622003338,Naukri
Data Scientist - Python/Machine Learning,Corner Tree Consulting,"Hyderabad/Secunderabad, Mumbai, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR",10-14 Yrs,1 Day Ago,08/09/2022,Relevant experience in usage of Data Analytics and Machine learning libraries for monit...,Not disclosed,https://www.naukri.com/job-listings-data-scientist-python-machine-learning-corner-tree-consulting-mumbai-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-delhi-ncr-10-to-14-years-080822907405,Naukri
"Data Scientist, Fintech",Uber,Hyderabad/Secunderabad,2-7 Yrs,3 Days Ago,08/09/2022,"BASIC QUALIFICATIONS: - M.S. or Bachelors degree in Math, Economics, Bioinformatics, St...",Not disclosed,https://www.naukri.com/job-listings-data-scientist-fintech-uber-hyderabad-secunderabad-2-to-7-years-050822501713,Naukri
Lead Data Scientist - OptumLabs,Optum,Hyderabad/Secunderabad,8-13 Yrs,6 Days Ago,08/09/2022,Atleast 5+ years working in US healthcare as data scientist Well versed with the US hea...,Not disclosed,https://www.naukri.com/job-listings-lead-data-scientist-optumlabs-optum-global-solutions-india-private-limited-hyderabad-secunderabad-8-to-13-years-030822900121,Naukri
Business Analyst - Corporate Governance Industry - IIM/ISB/MDI/FMS,Primo Hiring,"Hyderabad/Secunderabad, Kolkata, Mumbai, Pune, Chennai, Ahmedabad, Bangalore/Bengaluru, Delhi / NCR",1-3 Yrs,3 Days Ago,08/09/2022,Proven experience in eliciting requirements and testing 1-3 years of experience Previou...,Not disclosed,https://www.naukri.com/job-listings-business-analyst-corporate-governance-industry-iim-isb-mdi-fms-primo-hiring-kolkata-mumbai-hyderabad-secunderabad-pune-chennai-ahmedabad-bangalore-bengaluru-delhi-ncr-1-to-3-years-050822907793,Naukri
Sr Data Science Engineer,cloudneeti,Hyderabad/Secunderabad,3-5 Yrs,12 Days Ago,08/09/2022,Job Responsibilities Build large-scale cloud-based distributed systems to support the M...,Not disclosed,https://www.naukri.com/job-listings-sr-data-science-engineer-cloudneeti-hyderabad-secunderabad-3-to-5-years-270722500240,Naukri
Senior Data Engineer - DWH,Tiger Analytics,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",7-9 Yrs,12 Days Ago,08/09/2022,Experience in building solutions on DWH architectures.Cloud exposure preferredProficien...,Not disclosed,https://www.naukri.com/job-listings-senior-data-engineer-dwh-tiger-analytics-hyderabad-secunderabad-chennai-bangalore-bengaluru-7-to-9-years-270722501127,Naukri
Azure Big Data Architect/Sr.Architect/Pr.Architect,Tiger Analytics,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",8-16 Yrs,12 Days Ago,08/09/2022,Manage the full life-cycle of a Data Lake / Big Data solutions from requirement gatheri...,Not disclosed,https://www.naukri.com/job-listings-azure-big-data-architect-sr-architect-pr-architect-tiger-analytics-hyderabad-secunderabad-chennai-bangalore-bengaluru-8-to-16-years-270722501121,Naukri
Senior Data Engineer_AWS,Tiger Analytics,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",1-5 Yrs,12 Days Ago,08/09/2022,Design and build solutions for near real-time stream processing as well as batch proces...,Not disclosed,https://www.naukri.com/job-listings-senior-data-engineer-aws-tiger-analytics-hyderabad-secunderabad-chennai-bangalore-bengaluru-1-to-5-years-270722501115,Naukri
